id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;wilayah_uptd;kategori_jalan;kondisi_jalan;panjang_ruas_jalan;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;BAIK;117.66;KILOMETER;2018
2;32;JAWA BARAT;3201;KABUPATEN BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;SEDANG;9.39;KILOMETER;2018
3;32;JAWA BARAT;3201;KABUPATEN BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK RINGAN;5.76;KILOMETER;2018
4;32;JAWA BARAT;3201;KABUPATEN BOGOR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
5;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;MANTAP;BAIK;109.09;KILOMETER;2018
6;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;MANTAP;SEDANG;153.62;KILOMETER;2018
7;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;TIDAK MANTAP;RUSAK RINGAN;47.91;KILOMETER;2018
8;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN II;TIDAK MANTAP;RUSAK BERAT;3.3;KILOMETER;2018
9;32;JAWA BARAT;3203;KABUPATEN CIANJUR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;BAIK;83.82;KILOMETER;2018
10;32;JAWA BARAT;3203;KABUPATEN CIANJUR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;SEDANG;79.77;KILOMETER;2018
11;32;JAWA BARAT;3203;KABUPATEN CIANJUR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK RINGAN;8.49;KILOMETER;2018
12;32;JAWA BARAT;3203;KABUPATEN CIANJUR;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK BERAT;14.32;KILOMETER;2018
13;32;JAWA BARAT;3204;KABUPATEN BANDUNG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;MANTAP;BAIK;54.56;KILOMETER;2018
14;32;JAWA BARAT;3204;KABUPATEN BANDUNG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;MANTAP;SEDANG;63.93;KILOMETER;2018
15;32;JAWA BARAT;3204;KABUPATEN BANDUNG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;TIDAK MANTAP;RUSAK RINGAN;9.05;KILOMETER;2018
16;32;JAWA BARAT;3204;KABUPATEN BANDUNG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
17;32;JAWA BARAT;3205;KABUPATEN GARUT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;MANTAP;BAIK;56.6;KILOMETER;2018
18;32;JAWA BARAT;3205;KABUPATEN GARUT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;MANTAP;SEDANG;198.08;KILOMETER;2018
19;32;JAWA BARAT;3205;KABUPATEN GARUT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;TIDAK MANTAP;RUSAK RINGAN;31.36;KILOMETER;2018
20;32;JAWA BARAT;3205;KABUPATEN GARUT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
21;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;BAIK;56.59;KILOMETER;2018
22;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;SEDANG;54.85;KILOMETER;2018
23;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK RINGAN;12.2;KILOMETER;2018
24;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
25;32;JAWA BARAT;3207;KABUPATEN CIAMIS;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;BAIK;7.33;KILOMETER;2018
26;32;JAWA BARAT;3207;KABUPATEN CIAMIS;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;SEDANG;17.22;KILOMETER;2018
27;32;JAWA BARAT;3207;KABUPATEN CIAMIS;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK RINGAN;4.08;KILOMETER;2018
28;32;JAWA BARAT;3207;KABUPATEN CIAMIS;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
29;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;BAIK;38.85;KILOMETER;2018
30;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;SEDANG;39.67;KILOMETER;2018
31;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK RINGAN;7.8;KILOMETER;2018
32;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
33;32;JAWA BARAT;3209;KABUPATEN CIREBON;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;MANTAP;BAIK;23.61;KILOMETER;2018
34;32;JAWA BARAT;3209;KABUPATEN CIREBON;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;MANTAP;SEDANG;43.77;KILOMETER;2018
35;32;JAWA BARAT;3209;KABUPATEN CIREBON;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;TIDAK MANTAP;RUSAK RINGAN;4.99;KILOMETER;2018
36;32;JAWA BARAT;3209;KABUPATEN CIREBON;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
37;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;MANTAP;BAIK;59.45;KILOMETER;2018
38;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;MANTAP;SEDANG;49.8;KILOMETER;2018
39;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;TIDAK MANTAP;RUSAK RINGAN;16.58;KILOMETER;2018
40;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
41;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;MANTAP;BAIK;23.28;KILOMETER;2018
42;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;MANTAP;SEDANG;76.58;KILOMETER;2018
43;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;TIDAK MANTAP;RUSAK RINGAN;15.94;KILOMETER;2018
44;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN IV;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
45;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN VI;MANTAP;BAIK;66.97;KILOMETER;2018
